Ticker,m,tau,LLE,linear_start,linear_end,R2,n_points,downsample_step
AAPL,5,33,0.06796110948452881,0.0,10.0,0.3134057478494362,371,5
AAPL,8,33,0.040241288778832804,0.0,10.0,0.24774481313770302,272,5
AAPL,12,33,0.023943743163631914,0.0,10.0,0.2627057266752678,140,5
ADBE,5,6,0.05753065389542938,0.0,10.0,0.14419817676408453,479,5
ADBE,8,6,0.03960041927224481,0.0,10.0,0.11055141534516666,461,5
ADBE,12,6,0.029056082795881396,0.0,10.0,0.09204006206927973,437,5
AMAT,5,50,0.054533919931304804,0.0,10.0,0.25427133205042574,303,5
AMAT,8,50,0.02281477586759886,0.0,10.0,0.25036894516757024,153,5
AMAT,12,50,,,,,503,5
AMZN,5,1,0.1262910278072272,0.0,10.0,0.753918854066066,499,5
AMZN,8,1,0.09761839789971383,0.0,10.0,0.9438051351930254,496,5
AMZN,12,1,0.06277234853732602,0.0,10.0,0.9852761893615433,492,5
CSCO,5,22,0.06792093871384967,0.0,10.0,0.2707301783989752,415,5
CSCO,8,22,0.040935935860213456,0.0,10.0,0.2088904036175787,349,5
CSCO,12,22,0.027711467999612552,0.0,10.0,0.16457858609865939,261,5
GOOGL,5,9,0.02344442545169846,0.0,10.0,0.02745028534637528,467,5
GOOGL,8,9,0.010644941304106795,0.0,10.0,0.009975533196368569,440,5
GOOGL,12,9,0.006526361620906983,0.0,10.0,0.0057734913972968815,404,5
INTC,5,10,0.06811252856123748,0.0,10.0,0.26038602566053126,463,5
INTC,8,10,0.04707955636244069,0.0,10.0,0.2800505600189849,433,5
INTC,12,10,0.034345148375207045,0.0,10.0,0.2755981975699532,393,5
INTU,5,12,0.07242961982803969,0.0,10.0,0.2756046801809847,455,5
INTU,8,12,0.049680433578048216,0.0,10.0,0.2860099906079373,419,5
INTU,12,12,0.034731127403898214,0.0,10.0,0.25829319462785527,371,5
KLAC,5,23,0.07095437195208375,0.0,10.0,0.30538843372660907,411,5
KLAC,8,23,0.05237730634547879,0.0,10.0,0.35130479687896,342,5
KLAC,12,23,0.04389862130265018,0.0,10.0,0.4135430703665264,250,5
LRCX,5,10,0.07245868478535217,0.0,10.0,0.298272635990974,463,5
LRCX,8,10,0.04863821101485451,0.0,10.0,0.2792281007717685,433,5
LRCX,12,10,0.03610725731084548,0.0,10.0,0.2636135036586259,393,5
META,5,30,0.06545332635159976,0.0,10.0,0.27235259633355835,383,5
META,8,30,0.03807515373340809,0.0,10.0,0.20522994585211285,293,5
META,12,30,0.023422105256164456,0.0,10.0,0.1274271651759159,173,5
MSFT,5,14,0.06659050036612624,0.0,10.0,0.2554013059869138,447,5
MSFT,8,14,0.04625985721296606,0.0,10.0,0.2480547225700025,405,5
MSFT,12,14,0.034019139554179754,0.0,10.0,0.24549318571244327,349,5
MU,5,10,0.06869300768886781,0.0,10.0,0.26949882087115684,463,5
MU,8,10,0.04896876139305474,0.0,10.0,0.27036838961459764,433,5
MU,12,10,0.03618171770669289,0.0,10.0,0.2677082842207329,393,5
NFLX,5,32,0.06857250682433284,0.0,10.0,0.28170314556647047,375,5
NFLX,8,32,0.04468403734102964,0.0,10.0,0.2793082703546259,279,5
NFLX,12,32,0.024657678482345957,0.0,10.0,0.26206637576707914,151,5
NVDA,5,9,0.028128710919077975,0.0,10.0,0.033826588759017895,467,5
NVDA,8,9,0.012835457282622812,0.0,10.0,0.012962552795045768,440,5
NVDA,12,9,0.004236703131435298,0.0,10.0,0.0021781420439991317,404,5
QCOM,5,18,0.07303224714590208,0.0,10.0,0.296789544553145,431,5
QCOM,8,18,0.048126383440903656,0.0,10.0,0.25914459777074894,377,5
QCOM,12,18,0.034616961209820364,0.0,10.0,0.23283509636446786,305,5
TSLA,5,21,0.07324926255564644,0.0,10.0,0.3290320789452965,419,5
TSLA,8,21,0.04801093410194158,0.0,10.0,0.3068471280350209,356,5
TSLA,12,21,0.04162461676422855,0.0,10.0,0.4019644493385075,272,5
TXN,5,19,0.06377611768100098,0.0,10.0,0.2429125207940941,427,5
TXN,8,19,0.0455647899150363,0.0,10.0,0.2612936084568732,370,5
TXN,12,19,0.03192330881904028,0.0,10.0,0.22815141621896917,294,5
