Stock,Mean,Std_Dev,Skewness,Kurtosis,Min,Max,Range
AAPL,0.000926,0.017932,-0.20049,5.445104,-0.137708,0.113158,0.250866
ADBE,0.000721,0.021005,-0.694619,10.08935,-0.183841,0.163133,0.346974
AMAT,0.000799,0.02545,-0.456961,5.169124,-0.227624,0.129379,0.357003
AMZN,0.001057,0.020573,0.157703,5.791982,-0.151398,0.132178,0.283576
CSCO,0.000425,0.015824,-0.649123,12.057343,-0.147692,0.125517,0.27321
GOOGL,0.000787,0.017902,0.016667,6.184651,-0.123685,0.150645,0.27433
INTC,-0.000135,0.022765,-1.422281,20.165091,-0.301896,0.178324,0.48022
INTU,0.000797,0.019775,-0.206997,7.733755,-0.15638,0.182989,0.339369
KLAC,0.000955,0.024422,-0.067995,6.010636,-0.158955,0.172183,0.331138
LRCX,0.000936,0.026118,-0.225626,5.540188,-0.20368,0.184926,0.388606
META,0.000807,0.023846,-1.264685,27.620343,-0.306391,0.209307,0.515698
MSFT,0.000941,0.01709,-0.179488,8.070327,-0.159453,0.132929,0.292382
MU,0.000363,0.029475,-0.269655,3.93429,-0.220878,0.137439,0.358317
NFLX,0.001159,0.027812,-1.378166,29.720339,-0.432578,0.174189,0.606767
NVDA,0.002248,0.030372,0.208582,6.817779,-0.207712,0.260876,0.468588
QCOM,0.000407,0.023182,-0.071638,8.652797,-0.165471,0.208699,0.374171
TSLA,0.001327,0.035905,-0.065896,4.401219,-0.236518,0.198187,0.434705
TXN,0.000607,0.017813,-0.093552,4.809443,-0.125855,0.126892,0.252747
