stock_symbol,M,Delay,Lyapunov exponent
AAPL,20,6,0.001897
AAPL,25,6,0.001862
AAPL,30,6,0.001651
ADBE,20,7,0.001562
ADBE,25,7,0.001324
ADBE,30,7,0.001006
AMAT,20,6,0.001869
AMAT,25,6,0.001949
AMAT,30,6,0.001834
AMZN,20,5,0.002091
AMZN,25,5,0.002063
AMZN,30,5,0.001903
CSCO,20,5,0.001851
CSCO,25,5,0.001798
CSCO,30,5,0.001573
GOOGL,20,8,0.001167
GOOGL,25,8,0.001027
GOOGL,30,8,0.000879
INTC,20,6,0.001807
INTC,25,6,0.001804
INTC,30,6,0.001713
INTU,20,5,0.001479
INTU,25,5,0.001450
INTU,30,5,0.001451
KLAC,20,7,0.001483
KLAC,25,7,0.001280
KLAC,30,7,0.001048
LRCX,20,6,0.001829
LRCX,25,6,0.001749
LRCX,30,6,0.001548
META,20,5,0.002093
META,25,5,0.002090
META,30,5,0.002025
MSFT,20,6,0.001986
MSFT,25,6,0.001935
MSFT,30,6,0.001747
MU,20,7,0.001601
MU,25,7,0.001464
MU,30,7,0.001210
NFLX,20,6,0.001731
NFLX,25,6,0.001869
NFLX,30,6,0.001866
NVDA,20,6,0.001587
NVDA,25,6,0.001654
NVDA,30,6,0.001586
QCOM,20,6,0.001855
QCOM,25,6,0.001720
QCOM,30,6,0.001438
TSLA,20,6,0.001983
TSLA,25,6,0.001826
TSLA,30,6,0.001583
TXN,20,5,0.001841
TXN,25,5,0.001765
TXN,30,5,0.001679
